id,combi,length,date_added,type
1,double jab - hook,3,12.12.2025,boxing
2,double jab - teep,3,12.12.2025,kickboxing
3,jab - cross - hook - rear roundhouse kick,4,12.12.2025,kickboxing
4,jab - cross - hook - uppercut - lead roundhouse kick,5,12.12.2025,kickboxing
5,jab - cross - switch kick,4,12.12.2025,kickboxing
6,jab - cross - switch teep,4,12.12.2025,kickboxing
7,jab - cross - slip jab with jab to the body and step - cross to the head,4,12.12.2025,boxing
8,fake lead teep - rear roundhouse kick,2,12.12.2025,kickboxing
9,lead teep to stop - cross,2,12.12.2025,kickboxing
10,lead roundhouse kick - cross - rear roundhouse kick,3,12.12.2025,kickboxing
11,lead low kick - cross - hook,3,12.12.2025,kickboxing
12,lead low kick - cross - uppercut - hook,4,12.12.2025,kickboxing
13,lead low kick - cross - uppercut - rear push knee,4,12.12.2025,kickboxing
14,lead low kick - cross - uppercut - hook - jab - rear roundhouse kick,6,12.12.2025,kickboxing
15,rear check - rear roundhouse kick - lead hook - cross,4,12.12.2025,kickboxing
16,lead check - lead roundhouse kick - cross - hook,4,12.12.2025,kickboxing
17,roll rear hook - lead hook - cross - lead low kick,4,12.12.2025,kickboxing
18,roll lead hook - cross - hook - rear low kick,4,12.12.2025,kickboxing
19,jab - uppercut - roll lead hook - rear hook,4,14.12.2025,boxing
20,slip jab - slip cross - jab - cross - lead low kick,5,14.12.2025,kickboxing
21,jab - cross to the body - jab - cross - exit with jab,5,19.12.2025,boxing
22,lead low kick - rear low kick - back fist,3,19.12.2025,kickboxing
23,slip jab - cross - hook - roll rear hook - lead uppercut,5,19.12.2025,boxing
24,double jab - cross - hook - rear roundhouse kick,5,22.12.2025,kickboxing
25,jab - cross - roll lead hook - rear hook - lead uppercut,5,22.12.2025,boxing
26,jab - cross - lead roundhouse kick - cross - jab - rear roundhouse kick,6,22.12.2025,kickboxing
27,jab - cross - jab - rear roundhouse kick,4,22.12.2025,kickboxing
28,lead low kick - rear roundhouse kick,2,22.12.2025,kickboxing
29,lead low kick - cross - uppercut - hook - lead roundhouse kick,5,22.12.2025,kickboxing
30,roll rear hook - lead hook - cross - lead hook - roll rear hook and cut angle,5,22.12.2025,boxing
31,roll rear hook - lead hook - rear backfist,3,22.12.2025,kickboxing
32,slip jab - slip cross - jab - cross,4,22.12.2025,boxing
33,slip jab - slip cross - jab - cross - hook - uppercut,6,22.12.2025,boxing
34,slip jab - cross - switch roundhouse kick,4,22.12.2025,kickboxing
35,double jab - cross,3,26.12.2025,boxing
36,jab - cross - jab,3,26.12.2026,boxing
37,rear hook - lead hook,2,26.12.2027,boxing
38,jab - cross - uppercut - lead teep - side kick ,5,06.01.2025,kickboxing
39,jab - cross - uppercut - rear low kick - lead low kick - cross - uppercut - hook - lead low kick - rear low kick,10,06.01.2025,kickboxing
40,jab - cross - uppercut - rear roundhouse kick,4,06.01.2025,kickboxing
41,jab to the head - jab to the body - faint jab to the body and hook,3,08.01.2025,boxing
42,defend jab to the body with lead elbow - rear uppercut - lead hook - cross,4,08.01.2025,boxing
